"ORIGINAL_CRIME_TYPE_NAME","TIME","MONTH","COUNT(*)"
"Traffic Stop","21","12",640
"Auto Boost / Strip","21","12",241
"Threats / Harassment","08","12",51
"Stolen Vehicle","08","12",76
"Well Being Check","20","12",241
"Audible Alarm","13","12",240
"Homeless Complaint","07","12",1111
"Traf Violation Cite","07","12",183
"Auto Boost / Strip","20","12",239
"Trespasser","18","12",232
"Mentally Disturbed","07","12",64
"Threats / Harassment","19","12",54
"Vandalism","13","12",69
"Traffic Stop","06","12",147
"Fraud","17","12",67
"Trespasser","17","12",207
"Fight No Weapon","12","12",203
"Well Being Check","06","12",92
"Fight No Weapon","05","12",80
"Audible Alarm","23","12",258
"Suspicious Person","17","12",549
"Suspicious Person","12","12",703
"Mentally Disturbed","05","12",26
"Traf Violation Tow","23","12",41
"Burglary","12","12",80
"Audible Alarm","03","12",215
"Traf Violation Tow","02","12",12
"Suspicious Person","22","12",385
"Noise Nuisance","16","12",89
"Suspicious Person","16","12",645
"Drugs","11","12",79
"Traf Violation Cite","11","12",276
"Noise Nuisance","01","12",310
"Petty Theft","01","12",41
"Audible Alarm","16","12",212
"Burglary","10","12",103
"Traf Violation Cite","00","12",130
"Auto Boost / Strip","00","12",87
"Trespasser","10","12",226
"Mentally Disturbed","23","12",73
"Audible Alarm","15","12",238
"Burglary","15","12",57
"Well Being Check","09","12",231
"Homeless Complaint","09","12",790
"Trespasser","22","12",201
"Auto Boost / Strip","07","12",58
"Threats / Harassment","21","12",55
"Burglary","20","12",48
"Petty Theft","20","12",111
"Traffic Stop","05","12",140
"Fight No Weapon","04","12",77
"Vandalism","19","12",63
"Vandalism","12","12",73
"Petty Theft","17","12",172
"Auto Boost / Strip","01","12",72
"Suspicious Vehicle","09","12",178
"Fraud","14","12",75
"Drugs","07","12",33
"Assault / Battery","04","12",25
"Stolen Vehicle","02","12",20
"Petty Theft","03","12",14
"Veh Accident","01","12",21
"Homeless Complaint","17","11",379
"Petty Theft","17","11",172
"Traffic Stop","22","11",1303
"Fight No Weapon","22","11",210
"Assault / Battery","17","11",141
