Category,Day,Count
ASSAULT,Sunday,15.60397341
ASSAULT,Monday,13.69122829
ASSAULT,Tuesday,13.52532692
ASSAULT,Wednesday,13.62702497
ASSAULT,Thursday,13.36507545
ASSAULT,Friday,14.58493842
ASSAULT,Saturday,15.60243254
BURGLARY,Sunday,11.78244104
BURGLARY,Monday,14.29273675
BURGLARY,Tuesday,14.37357307
BURGLARY,Wednesday,14.70674983
BURGLARY,Thursday,14.76683089
BURGLARY,Friday,17.02587855
BURGLARY,Saturday,13.05178987
DISORDERLY CONDUCT,Sunday,12.88844622
DISORDERLY CONDUCT,Monday,14.85059761
DISORDERLY CONDUCT,Tuesday,15.70717131
DISORDERLY CONDUCT,Wednesday,15.99601594
DISORDERLY CONDUCT,Thursday,14.46215139
DISORDERLY CONDUCT,Friday,12.22111554
DISORDERLY CONDUCT,Saturday,13.87450199
DUI,Sunday,49.34210526
DUI,Monday,0
DUI,Tuesday,0
DUI,Wednesday,0
DUI,Thursday,0
DUI,Friday,0
DUI,Saturday,50.65789474
DRUG/NARCOTIC,Sunday,11.33597486
DRUG/NARCOTIC,Monday,14.13214298
DRUG/NARCOTIC,Tuesday,15.97786471
DRUG/NARCOTIC,Wednesday,17.28274317
DRUG/NARCOTIC,Thursday,15.51058281
DRUG/NARCOTIC,Friday,13.77520313
DRUG/NARCOTIC,Saturday,11.98548835
DRUNKENNESS,Sunday,19.37716263
DRUNKENNESS,Monday,12.13108081
DRUNKENNESS,Tuesday,11.25585182
DRUNKENNESS,Wednesday,12.02930999
DRUNKENNESS,Thursday,11.73417464
DRUNKENNESS,Friday,14.61428862
DRUNKENNESS,Saturday,18.85813149
FORGERY,Sunday,8.555314534
FORGERY,Monday,16.95444685
FORGERY,Tuesday,16.49457701
FORGERY,Wednesday,15.8308026
FORGERY,Thursday,15.52711497
FORGERY,Friday,15.89587852
FORGERY,Saturday,10.74186551
FRAUD,Sunday,11.29940783
FRAUD,Monday,15.46146069
FRAUD,Tuesday,14.67911993
FRAUD,Wednesday,14.66226951
FRAUD,Thursday,14.6502335
FRAUD,Friday,15.65403688
FRAUD,Saturday,13.59347167
LARCENY/THEFT,Sunday,13.77651692
LARCENY/THEFT,Monday,13.3683562
LARCENY/THEFT,Tuesday,13.69305315
LARCENY/THEFT,Wednesday,13.99672805
LARCENY/THEFT,Thursday,14.08789297
LARCENY/THEFT,Friday,15.55756294
LARCENY/THEFT,Saturday,15.51988977
MISSING PERSON,Sunday,11.95178646
MISSING PERSON,Monday,13.97761734
MISSING PERSON,Tuesday,13.91296316
MISSING PERSON,Wednesday,13.77133973
MISSING PERSON,Thursday,14.10230754
MISSING PERSON,Friday,17.93845538
MISSING PERSON,Saturday,14.3455304
PROSTITUTION,Sunday,6.532542961
PROSTITUTION,Monday,6.843901563
PROSTITUTION,Tuesday,18.28633016
PROSTITUTION,Wednesday,19.95090114
PROSTITUTION,Thursday,22.03460871
PROSTITUTION,Friday,16.78342614
PROSTITUTION,Saturday,9.568289324
RECOVERED VEHICLE,Sunday,0
RECOVERED VEHICLE,Monday,20.77602432
RECOVERED VEHICLE,Tuesday,20.76154626
RECOVERED VEHICLE,Wednesday,20.45750688
RECOVERED VEHICLE,Thursday,18.64774866
RECOVERED VEHICLE,Friday,19.35717388
RECOVERED VEHICLE,Saturday,0
ROBBERY,Sunday,14.58105859
ROBBERY,Monday,14.2696046
ROBBERY,Tuesday,13.90624161
ROBBERY,Wednesday,13.9688904
ROBBERY,Thursday,13.84001289
ROBBERY,Friday,14.37879249
ROBBERY,Saturday,15.05539943
SECONDARY CODES,Sunday,15.11749448
SECONDARY CODES,Monday,14.26580465
SECONDARY CODES,Tuesday,13.94835663
SECONDARY CODES,Wednesday,14.1419225
SECONDARY CODES,Thursday,13.75091944
SECONDARY CODES,Friday,14.23870543
SECONDARY CODES,Saturday,14.53679687
SEX OFFENSES,Sunday,14.99744507
SEX OFFENSES,Monday,14.26503151
SEX OFFENSES,Tuesday,13.54113439
SEX OFFENSES,Wednesday,13.37080565
SEX OFFENSES,Thursday,14.1458014
SEX OFFENSES,Friday,14.52904105
SEX OFFENSES,Saturday,15.15074093
STOLEN PROPERTY,Sunday,13.47237406
STOLEN PROPERTY,Monday,14.38903372
STOLEN PROPERTY,Tuesday,15.21318644
STOLEN PROPERTY,Wednesday,15.38138088
STOLEN PROPERTY,Thursday,14.30493651
STOLEN PROPERTY,Friday,13.86763098
STOLEN PROPERTY,Saturday,13.3714574
SUSPICIOUS OCC,Sunday,12.94316543
SUSPICIOUS OCC,Monday,14.33792452
SUSPICIOUS OCC,Tuesday,14.3143056
SUSPICIOUS OCC,Wednesday,15.04773507
SUSPICIOUS OCC,Thursday,14.58157227
SUSPICIOUS OCC,Friday,15.37964298
SUSPICIOUS OCC,Saturday,13.39565412
TRESPASS,Sunday,12.43765746
TRESPASS,Monday,14.61257648
TRESPASS,Tuesday,15.52779063
TRESPASS,Wednesday,15.84657309
TRESPASS,Thursday,14.49946013
TRESPASS,Friday,14.34521055
TRESPASS,Saturday,12.73073166
VANDALISM,Sunday,14.84245082
VANDALISM,Monday,13.26049682
VANDALISM,Tuesday,13.05370544
VANDALISM,Wednesday,13.38715653
VANDALISM,Thursday,13.2768678
VANDALISM,Friday,15.92810553
VANDALISM,Saturday,16.25121705
VEHICLE THEFT,Sunday,13.97608253
VEHICLE THEFT,Monday,13.65144311
VEHICLE THEFT,Tuesday,13.60405049
VEHICLE THEFT,Wednesday,14.01557637
VEHICLE THEFT,Thursday,13.91447213
VEHICLE THEFT,Friday,15.88600496
VEHICLE THEFT,Saturday,14.95237042
WARRANTS,Sunday,12.40690873
WARRANTS,Monday,13.86874994
WARRANTS,Tuesday,15.45685004
WARRANTS,Wednesday,16.43141084
WARRANTS,Thursday,15.14909399
WARRANTS,Friday,14.0492607
WARRANTS,Saturday,12.63772576
WEAPON LAWS,Sunday,13.20949897
WEAPON LAWS,Monday,13.92012234
WEAPON LAWS,Tuesday,14.14500315
WEAPON LAWS,Wednesday,15.04002878
WEAPON LAWS,Thursday,14.11351983
WEAPON LAWS,Friday,15.19294774
WEAPON LAWS,Saturday,14.37887919
